pid,project_id,authors,sort_year,title,location,host,pres_date,type,url
prs_18,,"Zoss, Angela M.",2019,Tools and Techniques for Scalable Survey Analysis,"Austin, TX",Designing for Digital (D4D) Conference 2019,"March 5, 2019",Accepted conference presentation,
prs_19,,"Zoss, Angela M.",2019,Usability Studies for Data Visualization,"Durham, NC",graduate Interdisciplinary Data Science course on Data Visualization,"February 8, 2019",Guest lecture and activity,
prs_20,,"Zoss, Angela M.",2019,Visualization for data science in R,"Raleigh, NC","Data Matters Data Science Short Course Series, sponsored by the National Consortium for Data Science, The Odum Institute, and RENCI","August 1, 2019",Two-day course,
prs_21,,"Zoss, Angela M.",2018,Communicating data through visualization,"Durham, NC",Duke Communicators,"October 10, 2018",Presentation,
prs_22,,"Zoss, Angela M.",2018,Custom Interactive Diagrams in LucidChart,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Spring 2018,Workshop,
prs_23,,"Zoss, Angela M. and Herndon, Joel",2018,Data lakes and canals: A case study for using data for planning and assessment,"Durham, NC",Duke University Libraries – First Wednesday Series,"July 11, 2018",Presentation,
prs_24,,"Zoss, Angela M. and Monson, Eric",2018,Data Visualization & Exploration,"Durham, NC",undergraduate Statistical Science course on Data Science,"January 29 and 31, 2018",Two-part guest lecture and activity,
prs_25,,"Zoss, Angela M.",2018,"Data Visualization, Information Design","Durham, NC","undergraduate course in Art, Art History & Visual Studies on Introduction to Architectural Design","April 11, 2018",Guest lecture,
prs_26,,"Zoss, Angela M. and Monson, Eric",2018,Designing Academic Figures and Posters,"Beaufort, NC","Duke University Marine Lab, Research Experience for Undergraduates in Estuarine and Coastal Marine Systems","July 1, 2018",Full-day workshop for undergraduates,
prs_27,,"Zoss, Angela M. and Monson, Eric",2018,Designing Academic Figures and Posters,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2013 to Spring 2018,Workshop,
prs_28,,"Zoss, Angela M. and Monson, Eric",2018,Ethics and Visualization,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Spring 2017 to Fall 2018,Workshop,
prs_29,,"Zoss, Angela M.",2018,Introduction to data visualization,"Raleigh, NC","the Data Science and Visualization Institute for Librarians, sponsored by North Carolina State University","June 1, 2018",One-day course for library professionals,
prs_30,,"Zoss, Angela M.",2018,Introduction to Effective Data Visualization,"Durham, NC",undergraduate Computer Science course called Everything Data,"March 21 and April 2, 2018",Guest lecture and visualization contest,
prs_31,,"Zoss, Angela M.",2018,Introduction to Effective Data Visualization,"Durham, NC",graduate Public Policy course called Public Policy Presentation Practicum,"February 20, 2018",guest lecture,
prs_32,,"Zoss, Angela M.",2018,Introduction to Effective Visualization,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2017 to Spring 2018,Workshop,
prs_33,,"Chapman, Joyce and Zoss, Angela M.",2018,Learning from students & faculty: 2018 user surveys,"Durham, NC",Duke University Library Advisory Board Fall 2018 Meeting,"November 16, 2018",Presentation,
prs_34,,"Zoss, Angela M.",2018,Network Visualizations,"Durham, NC",undergraduate Sociology course on Managing Networks,"March 19, 2018",guest lecture,
prs_35,,"Hirsh, Lauren and Zoss, Angela M.",2018,UX of data visualization,"Durham, NC",Duke Innovation Co-Lab Roots workshop series,"April 11, 2018",Presentation,
prs_36,,"Zoss, Angela M.",2018,Visual Analytics in Libraries,"Chapel Hill, NC",undergraduate/graduate Information and Library Science course on Visual Analytics,"November 27, 2018",Guest lecture,
prs_37,,"Zoss, Angela M.",2018,Visualization for data science in R,"Raleigh, NC","Data Matters Data Science Short Course Series, sponsored by the National Consortium for Data Science, The Odum Institute, and RENCI","August 1, 2018",Two-day course,
prs_38,,"Zoss, Angela M.",2018,Visualizing Qualitative Data,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2016 to Fall 2018,Workshop,
prs_39,,"Krishna, Anirudh, Zoss, Angela M. and Nolan, Sarah",2018,Visualizing Social Mobility in the Developing World,"Durham, NC",Duke University,Fall 2017 to Spring 2018,Year-long research-based course and project,
prs_40,,"Zoss, Angela M.",2017,Advanced Tableau (Data Structures),"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Spring 2016 to Spring 2017,Workshop,
prs_41,,"Herndon, Joel, Joque, Justin and Zoss, Angela M.",2017,"Cheap, fast, or good - pick two: Data instruction in the age of data science","Lawrence, KS",IASSIST Annual Conference 2017,"May 24, 2017",Accepted conference panel,
prs_42,,"Zoss, Angela M., Edelblute, Trevor and Kouper, Inna",2017,"Data quality, transparency and reproducibility in large bibliographic datasets","Lawrence, KS",IASSIST Annual Conference 2017,"May 26, 2017",Accepted conference presentation,
prs_43,,"Monson, Eric and Zoss, Angela M.",2017,Data Visualization,"Durham, NC",Duke University Library Advisory Board Fall 2017 Meeting,"November 18, 2017",Presentation,
prs_44,,"Zoss, Angela M. and Monson, Eric",2017,Data Visualization & Exploration,"Durham, NC",undergraduate Statistical Science course on Data Science,"September 12 and 14, 2017",Two-part guest lecture and activity,
